filename,type,galaxyID,timeStep,age(GYr),redshift(z),camera,filter,px(pixels),errpx(pixels),py(pixels),errpy(pixels),mag,errmag,rad(pixels),errrad(pixels),rad(kpc),errrad(kpc),sersicIndex(n),errsersicIndex(n),b/a,errb/a,angle(deg),errangle(deg),rff,sky
string,enum,enum,numeric,numeric,numeric,enum,enum,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
VELA28_a0.200_0004988__skipir_CAMERA0-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,200,1.558,4.0,0,F160W,299.8439,0.0254,300.1331,0.0231,22.3782,0.0030,17.5238,0.0574,17.5238,0.0574,1.5427,0.0048,0.8892,0.0024,-48.1030,0.8570,0.37599499899,0.000e+00
VELA28_a0.200_0004988__skipir_CAMERA1-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,200,1.558,4.0,1,F160W,299.8161,0.0385,300.7185,0.0193,22.5626,0.0024,21.5806,0.0475,21.5806,0.0475,1.0814,0.0037,0.4919,0.0011,-89.6285,0.0988,0.436203286235,0.000e+00
VELA28_a0.200_0004988__skipir_CAMERA5-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,200,1.558,4.0,5,F160W,301.2761,0.0354,300.9061,0.0161,22.3401,0.0025,21.2104,0.0514,21.2104,0.0514,1.3470,0.0044,0.4491,0.0011,89.3506,0.0909,0.357490723505,0.000e+00
VELA28_a0.200_0004988__skipir_CAMERA6-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,200,1.558,4.0,6,F160W,300.5608,0.0264,300.9894,0.0187,22.3073,0.0024,17.1936,0.0417,17.1936,0.0417,1.4419,0.0040,0.6896,0.0015,-87.9966,0.2137,0.429285151494,0.000e+00
VELA28_a0.200_0004988__skipir_CAMERA7-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,200,1.558,4.0,7,F160W,301.2389,0.0401,301.3326,0.0162,22.4454,0.0026,22.5495,0.0577,22.5495,0.0577,1.3274,0.0033,0.4041,0.0010,-89.5093,0.0815,0.326237237776,0.000e+00
VELA28_a0.200_0004988__skipir_CAMERA8-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,200,1.558,4.0,8,F160W,301.2957,0.0411,301.2813,0.0166,22.4312,0.0026,22.8090,0.0581,22.809,0.0581,1.2818,0.0038,0.4007,0.0010,-89.5351,0.0815,0.424404791041,0.000e+00
VELA28_a0.210_0004927__skipir_CAMERA0-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,210,1.676,3.7619047619,0,F160W,367.3207,0.1442,336.3804,0.0612,28.4183,0.0963,127.3790,56.3500,127.379,56.35,19.9983,4.6563,0.0500,0.0020,64.0555,0.1118,0.669241905758,0.000e+00
VELA28_a0.210_0004927__skipir_CAMERA0-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,210,1.676,3.7619047619,0,F160W,300.8772,0.0297,300.1618,0.0313,22.2051,0.0026,17.1562,0.0502,17.1562,0.0502,1.4287,0.0049,0.9162,0.0021,-21.2530,1.1954,0.425536678873,0.000e+00
VELA28_a0.210_0004927__skipir_CAMERA1-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,210,1.676,3.7619047619,1,F160W,297.5457,0.0462,300.0721,0.0196,22.3876,0.0024,24.2036,0.0518,24.2036,0.0518,1.0093,0.0026,0.4414,0.0010,-87.9470,0.0878,0.494579357108,0.000e+00
VELA28_a0.210_0004927__skipir_CAMERA5-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,210,1.676,3.7619047619,5,F160W,294.8090,0.0454,300.7502,0.0217,22.3138,0.0026,26.0267,0.0510,26.0267,0.051,0.9569,0.0038,0.4191,0.0010,-84.9982,0.0818,0.475643105334,0.000e+00
VELA28_a0.210_0004927__skipir_CAMERA6-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,210,1.676,3.7619047619,6,F160W,296.6042,0.0381,301.2793,0.0190,22.2547,0.0021,23.1112,0.0440,23.1112,0.044,1.0114,0.0027,0.5080,0.0009,87.1392,0.0958,0.420873632147,0.000e+00
VELA28_a0.210_0004927__skipir_CAMERA7-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,210,1.676,3.7619047619,7,F160W,297.5537,0.0439,301.4784,0.0198,22.2628,0.0025,22.8178,0.0508,22.8178,0.0508,1.0453,0.0039,0.4507,0.0010,-85.7569,0.0923,0.486604777731,0.000e+00
VELA28_a0.210_0004927__skipir_CAMERA8-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,210,1.676,3.7619047619,8,F160W,297.5105,0.0444,301.3762,0.0199,22.2847,0.0025,23.0416,0.0514,23.0416,0.0514,1.0515,0.0040,0.4488,0.0010,-85.8612,0.0920,0.487281391187,0.000e+00
VELA28_a0.220_0004981__skipir_CAMERA0-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,220,1.796,3.54545454545,0,F160W,301.6374,0.0345,299.0988,0.0397,21.5308,0.0033,18.1752,0.0575,18.1752,0.0575,1.2860,0.0048,0.8708,0.0026,17.3599,0.7958,0.521669679846,0.000e+00
VELA28_a0.220_0004981__skipir_CAMERA0-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,220,1.796,3.54545454545,0,F160W,64.7209,0.0678,78.1923,0.0387,22.5887,0.0054,16.5461,0.0617,16.5461,0.0617,0.4959,0.0051,0.5619,0.0021,73.0349,0.2656,0.685088844958,0.000e+00
VELA28_a0.220_0004981__skipir_CAMERA1-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,220,1.796,3.54545454545,1,F160W,298.8430,0.0418,300.9714,0.0173,21.6307,0.0024,22.2089,0.0498,22.2089,0.0498,1.0178,0.0033,0.4185,0.0009,81.4816,0.0809,0.549600776224,0.000e+00
VELA28_a0.220_0004981__skipir_CAMERA5-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,220,1.796,3.54545454545,5,F160W,296.3263,0.0332,301.8190,0.0156,21.6007,0.0027,18.6452,0.0503,18.6452,0.0503,1.3699,0.0045,0.4489,0.0011,-86.3541,0.1019,0.490926091181,0.000e+00
VELA28_a0.220_0004981__skipir_CAMERA6-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,220,1.796,3.54545454545,6,F160W,297.7354,0.0299,302.6298,0.0159,21.5367,0.0021,19.2564,0.0390,19.2564,0.039,1.1052,0.0033,0.5034,0.0010,85.7175,0.0919,0.460298172522,0.000e+00
VELA28_a0.220_0004981__skipir_CAMERA7-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,220,1.796,3.54545454545,7,F160W,299.0359,0.0322,302.0765,0.0159,21.6237,0.0025,18.4571,0.0442,18.4571,0.0442,1.2658,0.0040,0.4877,0.0011,-83.8987,0.1061,0.482894061611,0.000e+00
VELA28_a0.220_0004981__skipir_CAMERA8-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,220,1.796,3.54545454545,8,F160W,298.4348,0.0304,301.9810,0.0148,21.5875,0.0025,18.5744,0.0456,18.5744,0.0456,1.3645,0.0042,0.4676,0.0011,-83.9303,0.0987,0.50143980261,0.000e+00
VELA28_a0.230_0004621__skipir_CAMERA0-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,230,1.919,3.34782608696,0,F160W,108.4854,0.0243,260.9750,0.0225,22.5689,0.0044,9.7981,0.0440,9.7981,0.044,1.5777,0.0104,0.8719,0.0037,-77.0720,1.1079,0.435856617428,0.000e+00
VELA28_a0.230_0004621__skipir_CAMERA0-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,230,1.919,3.34782608696,0,F160W,298.9353,0.0214,300.1120,0.0234,20.9869,0.0022,15.7276,0.0308,15.7276,0.0308,1.1629,0.0035,0.8899,0.0018,4.0087,0.5822,0.481527027674,0.000e+00
VELA28_a0.230_0004621__skipir_CAMERA1-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,230,1.919,3.34782608696,1,F160W,301.0984,0.0217,301.4240,0.0125,21.2253,0.0018,17.5636,0.0286,17.5636,0.0286,1.1603,0.0030,0.5367,0.0010,85.5513,0.0864,0.449994425082,0.000e+00
VELA28_a0.230_0004621__skipir_CAMERA5-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,230,1.919,3.34782608696,5,F160W,303.5461,0.0225,301.0155,0.0126,21.1587,0.0019,17.7376,0.0269,17.7376,0.0269,1.0920,0.0028,0.5126,0.0009,-88.3181,0.0851,0.470048976777,0.000e+00
VELA28_a0.230_0004621__skipir_CAMERA6-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,230,1.919,3.34782608696,6,F160W,300.0392,0.0229,300.4308,0.0124,21.2196,0.0018,17.6901,0.0275,17.6901,0.0275,1.1196,0.0028,0.5314,0.0009,-89.7404,0.0853,0.437465850693,0.000e+00
VELA28_a0.230_0004621__skipir_CAMERA7-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,230,1.919,3.34782608696,7,F160W,304.4494,0.0213,301.3684,0.0129,21.1912,0.0019,18.8339,0.0266,18.8339,0.0266,1.0465,0.0027,0.4875,0.0009,-85.6440,0.0771,0.480231217887,0.000e+00
VELA28_a0.230_0004621__skipir_CAMERA8-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,230,1.919,3.34782608696,8,F160W,304.1609,0.0211,301.2809,0.0124,21.1855,0.0018,18.4798,0.0266,18.4798,0.0266,1.0782,0.0027,0.4924,0.0009,-85.7693,0.0775,0.48586765059,0.000e+00
VELA28_a0.260_0004252__skipir_CAMERA0-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,260,2.301,2.84615384615,0,F160W,299.5316,0.0128,301.1802,0.0133,20.9316,0.0022,9.8294,0.0232,9.8294,0.0232,1.5069,0.0050,0.9499,0.0019,63.4165,1.4318,0.364400194176,0.000e+00
VELA28_a0.260_0004252__skipir_CAMERA0-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,260,2.301,2.84615384615,0,F160W,238.4820,0.0176,374.3337,0.0125,22.3296,0.0041,10.0082,0.0435,10.0082,0.0435,1.8220,0.0087,0.6592,0.0029,-61.3246,0.3418,0.302665642894,0.000e+00
VELA28_a0.260_0004252__skipir_CAMERA1-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,260,2.301,2.84615384615,1,F160W,453.2013,0.0193,33.0463,0.0188,23.0578,0.0052,7.7836,0.0358,7.7836,0.0358,1.1534,0.0099,0.6662,0.0033,47.8128,0.4202,0.454818411731,0.000e+00
VELA28_a0.260_0004252__skipir_CAMERA1-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,260,2.301,2.84615384615,1,F160W,301.1009,0.0109,300.5433,0.0058,21.0856,0.0021,9.5431,0.0192,9.5431,0.0192,1.7936,0.0046,0.6029,0.0013,79.3299,0.1385,0.336363583295,0.000e+00
VELA28_a0.260_0004252__skipir_CAMERA1-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,260,2.301,2.84615384615,1,F160W,275.0185,0.0243,534.3850,0.0195,22.3726,0.0037,10.3805,0.0406,10.3805,0.0406,1.5370,0.0052,0.8319,0.0029,-76.5414,0.6515,0.347405809163,0.000e+00
VELA28_a0.260_0004252__skipir_CAMERA5-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,260,2.301,2.84615384615,5,F160W,300.3734,0.0097,300.2022,0.0063,21.0168,0.0020,9.8286,0.0191,9.8286,0.0191,1.8210,0.0048,0.5855,0.0012,83.2346,0.1217,0.31431411342,0.000e+00
VELA28_a0.260_0004252__skipir_CAMERA5-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,260,2.301,2.84615384615,5,F160W,499.7691,0.0270,39.1850,0.0146,23.0160,0.0050,9.7422,0.0415,9.7422,0.0415,1.2089,0.0092,0.4612,0.0023,63.9479,0.1969,0.387506959102,0.000e+00
VELA28_a0.260_0004252__skipir_CAMERA5-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,260,2.301,2.84615384615,5,F160W,325.7872,0.0245,543.4705,0.0192,22.3700,0.0037,10.3392,0.0398,10.3392,0.0398,1.4836,0.0056,0.8045,0.0029,88.5744,0.5671,0.329607896479,0.000e+00
VELA28_a0.260_0004252__skipir_CAMERA6-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,260,2.301,2.84615384615,6,F160W,299.3983,0.0112,300.4891,0.0061,21.1067,0.0020,11.0256,0.0214,11.0256,0.0214,1.8239,0.0045,0.5842,0.0012,87.6215,0.1186,0.331559365093,0.000e+00
VELA28_a0.260_0004252__skipir_CAMERA6-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,260,2.301,2.84615384615,6,F160W,413.7335,0.0370,35.9464,0.0158,23.0096,0.0048,11.9548,0.0474,11.9548,0.0474,1.1185,0.0084,0.3969,0.0018,66.9940,0.1508,0.536157420187,0.000e+00
VELA28_a0.260_0004252__skipir_CAMERA6-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,260,2.301,2.84615384615,6,F160W,396.2762,0.0139,534.3755,0.0167,22.4163,0.0036,10.3015,0.0364,10.3015,0.0364,1.5641,0.0069,0.6443,0.0023,38.1300,0.2668,0.336889876981,0.000e+00
VELA28_a0.260_0004252__skipir_CAMERA7-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,260,2.301,2.84615384615,7,F160W,300.4178,0.0091,300.1987,0.0061,21.0411,0.0019,9.5763,0.0179,9.5763,0.0179,1.8021,0.0046,0.6030,0.0012,80.5585,0.1278,0.311988128166,0.000e+00
VELA28_a0.260_0004252__skipir_CAMERA7-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,260,2.301,2.84615384615,7,F160W,465.3842,0.0226,50.5944,0.0149,23.0450,0.0049,8.1299,0.0349,8.1299,0.0349,1.1697,0.0092,0.5896,0.0028,59.5740,0.2952,0.443767565534,0.000e+00
VELA28_a0.260_0004252__skipir_CAMERA7-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,260,2.301,2.84615384615,7,F160W,283.9680,0.0223,544.8040,0.0173,22.3576,0.0035,10.7030,0.0389,10.703,0.0389,1.6334,0.0064,0.7748,0.0027,-77.9421,0.4660,0.337814761989,0.000e+00
VELA28_a0.260_0004252__skipir_CAMERA8-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,260,2.301,2.84615384615,8,F160W,472.5619,0.0228,49.1711,0.0146,23.0438,0.0050,8.2547,0.0369,8.2547,0.0369,1.2309,0.0092,0.5743,0.0028,60.0859,0.2871,0.48243782114,0.000e+00
VELA28_a0.260_0004252__skipir_CAMERA8-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,260,2.301,2.84615384615,8,F160W,300.3989,0.0096,300.1945,0.0063,21.0368,0.0020,9.5483,0.0181,9.5483,0.0181,1.7642,0.0043,0.5998,0.0012,81.0762,0.1287,0.312457712668,0.000e+00
VELA28_a0.260_0004252__skipir_CAMERA8-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,260,2.301,2.84615384615,8,F160W,290.2902,0.0240,544.8598,0.0192,22.3569,0.0036,10.6898,0.0399,10.6898,0.0399,1.5150,0.0059,0.7864,0.0028,-82.2628,0.5052,0.350045513556,0.000e+00
VELA28_a0.270_0004427__skipir_CAMERA0-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,270,2.434,2.7037037037,0,F160W,364.7088,0.0142,249.0293,0.0179,22.5269,0.0048,10.0836,0.0538,10.0836,0.0538,2.1359,0.0134,0.7069,0.0037,-47.9798,0.5002,0.269697656452,0.000e+00
VELA28_a0.270_0004427__skipir_CAMERA0-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,270,2.434,2.7037037037,0,F160W,564.4099,0.0184,113.9749,0.0356,21.5936,0.0033,17.2289,0.0562,17.2289,0.0562,1.3587,0.0062,0.4913,0.0016,-14.5325,0.1474,0.5226027604,0.000e+00
VELA28_a0.270_0004427__skipir_CAMERA0-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,270,2.434,2.7037037037,0,F160W,300.5602,0.0108,301.0536,0.0119,21.0069,0.0025,10.8011,0.0305,10.8011,0.0305,1.6327,0.0060,0.8780,0.0020,57.5068,0.6461,0.292563001738,0.000e+00
VELA28_a0.270_0004427__skipir_CAMERA1-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,270,2.434,2.7037037037,1,F160W,300.4127,0.0123,300.2468,0.0084,21.2865,0.0019,10.3591,0.0190,10.3591,0.019,1.5208,0.0042,0.6826,0.0013,81.7214,0.1692,0.296508870461,0.000e+00
VELA28_a0.270_0004427__skipir_CAMERA1-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,270,2.434,2.7037037037,1,F160W,335.6673,0.0111,578.1161,0.0146,22.4553,0.0033,10.1142,0.0424,10.1142,0.0424,2.0906,0.0094,0.7895,0.0026,-32.9447,0.5252,0.26896215299,0.000e+00
VELA28_a0.270_0004427__skipir_CAMERA1-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,270,2.434,2.7037037037,1,F160W,280.2370,0.0133,401.6801,0.0124,22.8346,0.0029,6.1695,0.0255,6.1695,0.0255,1.7754,0.0101,0.9748,0.0028,53.9508,5.3105,0.295919421633,0.000e+00
VELA28_a0.270_0004427__skipir_CAMERA5-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,270,2.434,2.7037037037,5,F160W,301.1792,0.0104,300.4532,0.0061,21.1841,0.0019,10.0007,0.0186,10.0007,0.0186,1.7564,0.0045,0.6403,0.0012,80.2262,0.1397,0.248722887984,0.000e+00
VELA28_a0.270_0004427__skipir_CAMERA5-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,270,2.434,2.7037037037,5,F160W,262.4394,0.0118,561.3939,0.0125,22.4748,0.0033,9.3951,0.0357,9.3951,0.0357,1.8956,0.0081,0.9224,0.0029,-46.0510,1.5180,0.301604621486,0.000e+00
VELA28_a0.270_0004427__skipir_CAMERA5-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,270,2.434,2.7037037037,5,F160W,315.7245,0.0136,406.2550,0.0095,22.8470,0.0039,8.2064,0.0355,8.2064,0.0355,2.1115,0.0109,0.6369,0.0025,76.4384,0.2967,0.326909904906,0.000e+00
VELA28_a0.270_0004427__skipir_CAMERA6-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,270,2.434,2.7037037037,6,F160W,299.6754,0.0099,300.8091,0.0066,21.2414,0.0018,10.7097,0.0195,10.7097,0.0195,1.8288,0.0043,0.6098,0.0012,88.1328,0.1229,0.275905527536,0.000e+00
VELA28_a0.270_0004427__skipir_CAMERA6-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,270,2.434,2.7037037037,6,F160W,217.7894,0.0121,575.2918,0.0166,22.5355,0.0034,10.5929,0.0429,10.5929,0.0429,1.9408,0.0085,0.6644,0.0023,11.0825,0.2907,0.252273551793,0.000e+00
VELA28_a0.270_0004427__skipir_CAMERA6-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,270,2.434,2.7037037037,6,F160W,340.0892,0.0176,400.2528,0.0108,22.7614,0.0037,8.9728,0.0337,8.9728,0.0337,1.7714,0.0084,0.5980,0.0022,74.5621,0.2395,0.373921527465,0.000e+00
VELA28_a0.270_0004427__skipir_CAMERA7-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,270,2.434,2.7037037037,7,F160W,300.8474,0.0112,300.5546,0.0068,21.2082,0.0019,9.9144,0.0181,9.9144,0.0181,1.6203,0.0043,0.6579,0.0013,79.1096,0.1509,0.265666420119,0.000e+00
VELA28_a0.270_0004427__skipir_CAMERA7-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,270,2.434,2.7037037037,7,F160W,297.2314,0.0138,549.3943,0.0112,22.4439,0.0033,10.2285,0.0377,10.2285,0.0377,2.1565,0.0071,0.8246,0.0026,-51.2827,0.6021,0.280388398233,0.000e+00
VELA28_a0.270_0004427__skipir_CAMERA7-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,270,2.434,2.7037037037,7,F160W,298.2477,0.0154,408.2896,0.0100,22.8320,0.0039,7.5011,0.0314,7.5011,0.0314,1.8288,0.0094,0.7137,0.0028,79.7557,0.4054,0.332040751584,0.000e+00
VELA28_a0.270_0004427__skipir_CAMERA8-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,270,2.434,2.7037037037,8,F160W,301.0285,0.0114,300.4982,0.0068,21.2057,0.0019,9.9490,0.0183,9.949,0.0183,1.6205,0.0043,0.6540,0.0013,79.3652,0.1494,0.274562785562,0.000e+00
VELA28_a0.270_0004427__skipir_CAMERA8-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,270,2.434,2.7037037037,8,F160W,291.5055,0.0107,550.6862,0.0124,22.4480,0.0033,10.2423,0.0384,10.2423,0.0384,2.1493,0.0092,0.8417,0.0026,-54.1653,0.6902,0.292848710365,0.000e+00
VELA28_a0.270_0004427__skipir_CAMERA8-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,270,2.434,2.7037037037,8,F160W,301.2425,0.0152,408.1041,0.0120,22.8414,0.0040,7.5081,0.0319,7.5081,0.0319,1.8221,0.0107,0.7037,0.0026,79.9009,0.3918,0.320681175529,0.000e+00
VELA28_a0.280_0004880__skipir_CAMERA0-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,280,2.568,2.57142857143,0,F160W,300.2925,0.0162,300.2007,0.0143,20.9640,0.0033,9.8746,0.0354,9.8746,0.0354,1.6872,0.0078,0.8502,0.0027,65.7948,0.6804,0.271557978969,0.000e+00
VELA28_a0.280_0004880__skipir_CAMERA0-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,280,2.568,2.57142857143,0,F160W,486.8004,0.0303,300.0712,0.0365,22.8868,0.0080,11.1879,0.1075,11.1879,0.1075,2.2286,0.0199,0.8381,0.0062,33.4070,1.5875,0.368338916446,0.000e+00
VELA28_a0.280_0004880__skipir_CAMERA0-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,280,2.568,2.57142857143,0,F160W,464.3951,0.0130,214.3165,0.0199,20.2794,0.0025,12.5536,0.0255,12.5536,0.0255,1.0023,0.0043,0.6380,0.0014,34.6812,0.1789,0.510215514682,0.000e+00
VELA28_a0.280_0004880__skipir_CAMERA1-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,280,2.568,2.57142857143,1,F160W,342.5615,0.0523,463.3821,0.0583,20.7277,0.0096,9.7452,0.1241,9.7452,0.1241,1.5505,0.0257,0.9772,0.0092,-8.9883,14.8724,0.580150082658,0.000e+00
VELA28_a0.280_0004880__skipir_CAMERA1-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,280,2.568,2.57142857143,1,F160W,269.7551,0.0211,600.1262,0.0387,23.5948,0.0191,16.5835,0.3446,16.5835,0.3446,3.9462,0.0804,0.4590,0.0126,-53.6902,1.2663,1.60666159566,0.000e+00
VELA28_a0.280_0004880__skipir_CAMERA1-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,280,2.568,2.57142857143,1,F160W,302.0464,0.0456,300.5728,0.0070,22.0389,1.9223,6.417e-03,2.924e-02,0.006417,0.02924,19.9998,14.7100,0.5976,0.0942,83.8654,7.7602,0,0.000e+00
VELA28_a0.280_0004880__skipir_CAMERA5-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,280,2.568,2.57142857143,5,F160W,185.4481,0.0231,393.2796,0.0202,20.5582,0.0045,9.9662,0.0415,9.9662,0.0415,1.8311,0.0113,0.7353,0.0032,-73.5151,0.4741,0.54473999054,0.000e+00
VELA28_a0.280_0004880__skipir_CAMERA5-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,280,2.568,2.57142857143,5,F160W,132.8688,0.0731,572.3447,0.0244,23.4517,0.0098,85.7452,6.9336,85.7452,6.9336,9.8256,0.3687,0.4287,0.0059,-58.3587,0.4532,0.938168843567,0.000e+00
VELA28_a0.280_0004880__skipir_CAMERA5-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,280,2.568,2.57142857143,5,F160W,297.1173,0.0306,301.0828,0.0311,22.2077,1.7558,8.354e-03,3.214e-02,0.008354,0.03214,19.9998,11.0704,0.3250,0.0359,-45.0112,2.0929,0,0.000e+00
VELA28_a0.280_0004880__skipir_CAMERA6-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,280,2.568,2.57142857143,6,F160W,121.8390,0.0136,429.2975,0.0139,20.3852,0.0029,12.8998,0.0386,12.8998,0.0386,1.7725,0.0075,0.3927,0.0012,42.5849,0.0947,0.436723182237,0.000e+00
VELA28_a0.280_0004880__skipir_CAMERA6-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,280,2.568,2.57142857143,6,F160W,154.4251,0.0260,577.2072,0.0262,22.9398,0.0085,9.1442,0.1010,9.1442,0.101,2.0605,0.0265,0.8224,0.0071,75.2108,1.7990,0.332211573871,0.000e+00
VELA28_a0.280_0004880__skipir_CAMERA6-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,280,2.568,2.57142857143,6,F160W,300.3656,0.0233,300.5242,0.0141,21.1106,0.0040,9.7301,0.0380,9.7301,0.038,1.6138,0.0069,0.6403,0.0027,83.6063,0.3094,0.277209055435,0.000e+00
VELA28_a0.280_0004880__skipir_CAMERA7-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,280,2.568,2.57142857143,7,F160W,300.4428,0.0229,300.5237,0.0168,21.1461,0.0042,10.1197,0.0432,10.1197,0.0432,1.7337,0.0101,0.7612,0.0033,75.7978,0.5090,0.300325318484,0.000e+00
VELA28_a0.280_0004880__skipir_CAMERA7-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,280,2.568,2.57142857143,7,F160W,178.3508,0.0261,526.9846,0.0388,22.9679,0.0096,10.2820,0.1139,10.282,0.1139,2.0721,0.0273,0.6628,0.0064,43.7496,0.8232,0.331689290499,0.000e+00
VELA28_a0.280_0004880__skipir_CAMERA7-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,280,2.568,2.57142857143,7,F160W,256.9403,0.0171,371.2348,0.0324,20.2760,0.0029,14.6100,0.0269,14.61,0.0269,0.4574,0.0026,0.5148,0.0011,-2.6148,0.1207,0.542901819781,0.000e+00
VELA28_a0.280_0004880__skipir_CAMERA8-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,280,2.568,2.57142857143,8,F160W,244.4290,0.0283,384.6786,0.0333,20.4985,0.0052,10.6567,0.0635,10.6567,0.0635,1.5400,0.0133,0.8408,0.0042,16.9390,0.9958,0.538969344252,0.000e+00
VELA28_a0.280_0004880__skipir_CAMERA8-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,280,2.568,2.57142857143,8,F160W,170.2496,0.0355,534.7671,0.0474,22.1207,0.0611,1117.1078,231.7679,1117.1078,231.7679,20.0000,1.1631,0.4964,0.0028,-49.1616,0.2334,0.731247111439,0.000e+00
VELA28_a0.280_0004880__skipir_CAMERA8-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,280,2.568,2.57142857143,8,F160W,299.4447,0.0091,301.8580,0.0202,21.8241,0.0086,9.9519,0.0758,9.9519,0.0758,4.1527,0.0274,0.6208,0.0035,-50.8668,0.3869,0.63522032679,0.000e+00
VELA28_a0.290_0004514__skipir_CAMERA0-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,290,2.704,2.44827586207,0,F160W,301.2314,0.0166,299.8473,0.0136,20.5036,0.0026,11.4752,0.0326,11.4752,0.0326,1.5140,0.0060,0.7866,0.0019,62.8503,0.3642,0.285954723134,0.000e+00
