Pitcher,PitcherID,Batter,BatterID,hitside,game_id,ab_id,pitch_id,des,result,pitch_type,called,start_speed,end_speed,sz_top,sz_bot,xmove,zmove,break_length,xend,zend,yend,xstart,ystart,zstart,xvel,yvel,zvel,xacc,yacc,zacc
string,numeric,string,numeric,string,numeric,numeric,numeric,string,string,string,string,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
Felix Hernandez,433587,Albert Pujols,405395,R,18944,1441901,5460115,Ball In Dirt,Albert Pujols doubles (1) on a line drive to left fielder Dustin Ackley.   Erick Aybar scores.  ,SI,B,90.7,82.8,3.42,1.7,-7.95,1.35,8.1,-0.11,-0.443,0,-1.602,50,5.79,6.536,-132.474,-10.42,-13.827,33.867,-29.745
Felix Hernandez,433587,Albert Pujols,405395,R,18944,1441901,5460117,Ball In Dirt,Albert Pujols doubles (1) on a line drive to left fielder Dustin Ackley.   Erick Aybar scores.  ,CU,B,82.9,76.5,3.42,1.7,4.93,-6.88,12.3,1.04,-0.073,0,-1.813,50,6.009,5.259,-121.305,-5.568,7.196,28.238,-42.136
Felix Hernandez,433587,Albert Pujols,405395,R,18944,1441901,5460119,"In play, run(s)",Albert Pujols doubles (1) on a line drive to left fielder Dustin Ackley.   Erick Aybar scores.  ,FF,X,93.4,85,3.42,1.7,-3.46,7.9,4.3,0.649,1.984,0,-1.622,50,5.88,7.289,-136.672,-7.204,-6.439,34.39,-17.385
Felix Hernandez,433587,Mike Trout,545361,R,18944,1441909,5460150,Ball,Mike Trout strikes out swinging.  ,SI,B,89.8,82.1,3.53,1.58,-8.48,3.02,7.5,0.048,0.643,0,-1.917,50,5.883,7.887,-131.204,-8.259,-14.556,31.665,-26.919
Felix Hernandez,433587,Mike Trout,545361,R,18944,1441909,5460152,Foul,Mike Trout strikes out swinging.  ,SI,S,90.2,83,3.53,1.58,-7.41,5.08,6.4,-0.426,1.251,0,-1.763,50,5.926,5.973,-131.938,-7.69,-12.989,29.399,-23.196
Felix Hernandez,433587,Mike Trout,545361,R,18944,1441909,5460154,Ball,Mike Trout strikes out swinging.  ,FF,B,92.1,84.6,3.53,1.58,-5.63,3.11,6.3,-1.386,3.049,0,-2.025,50,5.954,3.641,-135.044,-2.763,-10.329,31.028,-26.396
Felix Hernandez,433587,Mike Trout,545361,R,18944,1441909,5460156,Ball,Mike Trout strikes out swinging.  ,SI,B,90.1,83.2,3.53,1.58,-8.56,3.32,7.3,-0.05,-0.096,0,-2.001,50,5.792,7.933,-131.529,-10.178,-14.917,29.232,-26.313
Felix Hernandez,433587,Mike Trout,545361,R,18944,1441909,5460149,Called Strike,Mike Trout strikes out swinging.  ,SI,S,92.1,83.4,3.53,1.58,-9.46,6.86,6,-0.324,2.094,0,-1.791,50,5.96,7.098,-134.705,-6.448,-17.025,34.872,-19.752
Felix Hernandez,433587,Mike Trout,545361,R,18944,1441909,5460151,Swinging Strike,Mike Trout strikes out swinging.  ,SI,S,92,84,3.53,1.58,-7.46,6.43,5.7,-1.039,1.624,0,-2.023,50,5.905,5.157,-134.633,-7.455,-13.519,32.583,-20.443
Felix Hernandez,433587,Mike Trout,545361,R,18944,1441909,5460153,Foul,Mike Trout strikes out swinging.  ,FF,S,92.5,85,3.53,1.58,-5.19,7.64,4.5,0.109,3.205,0,-1.915,50,5.982,7.208,-135.387,-4.054,-9.621,30.139,-17.952
Felix Hernandez,433587,Mike Trout,545361,R,18944,1441909,5460155,Foul,Mike Trout strikes out swinging.  ,FF,S,93.2,84.9,3.53,1.58,-4.55,9.14,3.9,0.527,2.359,0,-1.78,50,5.875,7.754,-136.267,-6.587,-8.447,33.286,-15.122
Felix Hernandez,433587,Mike Trout,545361,R,18944,1441909,5460157,Swinging Strike,Mike Trout strikes out swinging.  ,SI,S,90.4,83.5,3.53,1.58,-6.59,4.22,6.5,0.207,0.645,0,-1.837,50,5.842,7.558,-132.107,-8.815,-11.622,28.625,-24.661
Felix Hernandez,433587,Chris Iannetta,455104,R,18944,1441917,5460184,Swinging Strike,Chris Iannetta strikes out swinging.  ,SI,S,89.1,81.8,3.34,1.54,-7.6,3.12,7.3,0.153,1.246,0,-1.674,50,5.859,7.208,-130.252,-6.598,-12.955,29.372,-26.783
Felix Hernandez,433587,Chris Iannetta,455104,R,18944,1441917,5460182,Foul,Chris Iannetta strikes out swinging.  ,SI,S,91.6,84.1,3.34,1.54,-6.1,5.32,5.6,0.2,2.838,0,-1.763,50,5.969,7.279,-134.094,-4.027,-11.056,30.12,-22.451
Felix Hernandez,433587,Chris Iannetta,455104,R,18944,1441917,5460183,Swinging Strike,Chris Iannetta strikes out swinging.  ,SI,S,89.5,82.6,3.34,1.54,-7.33,5.93,6,-0.072,1.732,0,-1.652,50,5.957,6.547,-130.998,-6.71,-12.736,27.833,-21.795
Felix Hernandez,433587,Mike Trout,545361,R,18944,1441842,5459897,Ball,Mike Trout homers (1) on a fly ball to left field.   Kole Calhoun scores.  ,SI,B,92.3,83.7,3.53,1.58,-11.2,4.97,7,-1.929,2.04,0,-1.964,50,5.961,3.925,-135.151,-5.999,-20.273,35.317,-23.108
Felix Hernandez,433587,Mike Trout,545361,R,18944,1441842,5459898,Foul Tip,Mike Trout homers (1) on a fly ball to left field.   Kole Calhoun scores.  ,SI,S,92,82.7,3.53,1.58,-10.3,4.92,6.9,-0.196,1.492,0,-1.627,50,5.828,7.247,-134.631,-6.928,-18.322,37.58,-23.347
Felix Hernandez,433587,Mike Trout,545361,R,18944,1441842,5459899,"In play, run(s)",Mike Trout homers (1) on a fly ball to left field.   Kole Calhoun scores.  ,SL,X,85.9,79,3.53,1.58,1.84,-2.2,9.4,-0.477,1.668,0,-1.914,50,6.018,2.962,-125.948,-3.564,2.922,28.614,-35.589
Felix Hernandez,433587,Howie Kendrick,435062,R,18944,1441866,5459966,Ball,Howie Kendrick strikes out swinging.  ,SL,B,84.9,78.1,3.27,1.49,0.92,-0.21,8.6,0.981,2.67,0,-2.059,50,6.03,7.144,-124.315,-1.589,1.43,26.821,-32.433
